CorrSciName,FRS Common Name,FRSCode,IDlevel,Habit,ALTname_survey,
Rajella bathyphila,Deepwater ray,RBA,Species,DEMERSAL,,
Rajidae,Skate unidentified,SKU,Higher,DEMERSAL,,
Raniceps raninus,Tadpole fish,TFI,Species,DEMERSAL,,
Salmo salar,Salmon,SAL,Species,PELAGIC,,
Salmo trutta,Trout,TRO,Species,PELAGIC,,
Sander lucioperca,Pike perch,PPH,Species,DEMERSAL,,
Sarda sarda,Atlantic bonito,BON,Species,PELAGIC,,
Sardina pilchardus,Pilchard,PIL,Species,PELAGIC,,
Schedophilus medusophagus,Cornish blackfish,CBL,Species,DEMERSAL,,
Scomber japonicus,Chub mackerel,SMA,Species,PELAGIC,,
Scomber scombrus,Mackerel,MAC,Species,PELAGIC,,
Scomberesox saurus,Skipper,SKI,Species,PELAGIC,,
Scophthalmus rhombus,Brill,BRI,Species,DEMERSAL,,
Scorpaena loppei,Cadenat's rockfish,CRO,Species,DEMERSAL,,
Scorpaena notata,Small red scorpionfish,SRS,Species,DEMERSAL,,
Scorpaena porcus,Black scorpionfish,SCP,Species,DEMERSAL,,
Scorpaena scrofa,Scorpionfish,SPF,Species,DEMERSAL,,
Scorpaenidae,Scorpionfish unidentified,SCU,Higher,DEMERSAL,,
Scyliorhinidae,Dogfish unidentified,DOU,Higher,DEMERSAL,,
Scyliorhinus canicula,Lesser spotted dogfish,LSD,Species,DEMERSAL,,
Scyliorhinus stellaris,Nurse hound,NHO,Species,DEMERSAL,,
Scymnodon ringens,Knifetooth dogfish,SRI,Species,DEMERSAL,,
Sebastes,Redfishes,SBU,Higher,DEMERSAL,,
Sebastes marinus,Redfish (marinus),RED,Species,DEMERSAL,,
Sebastes mentella,Redfish,SMM,Species,DEMERSAL,,
Sebastes viviparus,Norway haddock,NHA,Species,DEMERSAL,,
Serranidae,Comber unidentified,CMU,Higher,DEMERSAL,,
Serranus cabrilla,Comber,COM,Species,DEMERSAL,,
Serranus hepatus,Brown comber,BCO,Species,DEMERSAL,,
Serranus scriba,Painted comber,PAC,Species,DEMERSAL,,
Solea solea,Dover sole,DSO,Species,DEMERSAL,,
Soleidae,Sole unidentified,SOU,Higher,DEMERSAL,,
Somniosus microcephalus,Greenland shark,GSH,Species,DEMERSAL,,
Sparidae,Sea breams unidentified,BRU,Higher,DEMERSAL,,
Sparus auratus,Gilthead seabream,GHE,Species,DEMERSAL,,
Spinachia spinachia,Fifteen spined stickleback,FST,Species,DEMERSAL,,
Spondyliosoma cantharus,Black sea bream,BSB,Species,DEMERSAL,,
Sprattus sprattus,Sprat,SPR,Species,PELAGIC,,
Squalidae,Spurdog unidentified,SDU,Higher,DEMERSAL,,
Squalus acanthias,Spurdog,SPU,Species,DEMERSAL,,
Stichaeidae,Pricklebacks unidentified,PBU,Higher,DEMERSAL,,
Stomias boa ferox,Boa dragonfish,SBF,Species,DEMERSAL,,
Symphodus bailloni,Baillon's wrasse,CBA,Species,DEMERSAL,,
Symphodus melops,Corkwing wrasse,CWR,Species,DEMERSAL,,
Synaphobranchus kaupi,Kaup's arrowtooth eel,SYK,Species,DEMERSAL,,
Syngnathidae,Pipefish unidentified,PIU,Higher,DEMERSAL,,
Syngnathus acus,Great pipefish,GPI,Species,DEMERSAL,,
Syngnathus rostellatus,Nilsson's pipefish,NPI,Species,DEMERSAL,,
Syngnathus typhle,Broad-nosed pipefish,BNP,Species,DEMERSAL,,
Taurulus bubalis,Sea scorpion,SSC,Species,DEMERSAL,,
Taurulus lilljeborgi,Norway bullhead,NBU,Species,DEMERSAL,,
Thunnus thynnus,Bluefin tuna,BTU,Species,PELAGIC,,
Torpedo marmorata,Marbled electric ray,MER,Species,DEMERSAL,,
Torpedo nobiliana,Atlantic torpedo,ERA,Species,DEMERSAL,,
Torpedo torpedo,Eyed electric ray,TTO,Species,DEMERSAL,,
Trachinus draco,Greater weever,GWE,Species,DEMERSAL,,
Trachurus mediterraneus,Mediterranean horse mackerel,MHM,Species,PELAGIC,,
Trachurus picturatus,Blue jack mackerel,BJM,Species,PELAGIC,,
Trachurus trachurus,Horse mackerel,HMA,Species,PELAGIC,,
Trachyrincus murrayi,Murray's rat tail,TMU,Species,DEMERSAL,,
Trachyrincus scabrus,Roughsnout grenadier,RGR,Species,DEMERSAL,,
Trachyscorpia cristulata,Atlantic thornyhead,TCR,Species,DEMERSAL,,
Trigla lyra,Piper gurnard,PIP,Species,DEMERSAL,,
Triglidae,Gurnards unidentified,GUN,Higher,DEMERSAL,,
Trigloporus lastoviza,Streaked gurnard,SGU,Species,DEMERSAL,,
Triglops murrayi,Moustache sculpin,MSC,Species,DEMERSAL,,
Triglops pingelii,Ribbed sculpin,RIS,Species,DEMERSAL,,
Trisopterus esmarkii,Norway pout,NPO,Species,DEMERSAL,,
Trisopterus luscus,Bib,BIB,Species,DEMERSAL,,
Trisopterus minutus,Poor cod,PCO,Species,DEMERSAL,,
Umbrina canariensis,Canary drum,UCA,Species,DEMERSAL,,
Xenodermichthys copei,Bluntsnout smooth-head,XCI,Species,DEMERSAL,,
Xiphias gladius,Swordfish,SWO,Species,PELAGIC,,
Zeiformes,Zeiformes unidentified,ZEU,Higher,PELAGIC,,
Zenopsis conchifera,Silvery john dory,SJD,Species,DEMERSAL,,
Zenopsis ocellata,American john dory,AJD,Species,PELAGIC,,
Zeugopterus punctatus,Topknot,TPK,Species,DEMERSAL,,
Zeugopterus regius,Eckstrom's topknot,ETO,Species,DEMERSAL,,
Zeus faber,John dory,JDO,Species,PELAGIC,,
Zoarces viviparus,Viviparous blenny,VBL,Species,DEMERSAL,,
Zoarcidae,Eelpouts unidentified,EPU,Higher,DEMERSAL,,
Zeugopterus,Topknots,TOK,Species,DEMERSAL,NEW in LW,
Syngnathus,Pipefish unidentified,PIU,Higher,DEMERSAL,NEW in LW,
Raja,Skate unidentified,SKU,Higher,DEMERSAL,NEW in LW,
