Functional.group,ScientificName_WoRMS,IBTS.species,Code,Common.name,ICES.Statlant.name,ITIS_TSN,WoRMS_AphiaID,Max.L..cm.,a,b,N,Min.L..cm.,Life.span..years.,TL,DEMPEL,TL_Ecopath,max len demersal,max len,LSI demersal,LSI_eco,Trophic_guild,Habitat_1,Piscivore,Bentho-piscivore,Benthivore,Planktivore
Lemon Sole,Microstomus kitt,Microstomus kitt,LEM,LEMON SOLE,Lemon Sole,172888,127140,45,0.0042,3.2695,550,11.5,17,3.67,DEM,3.943399529,45,45,0,0,Benthivore,Demersal,0,0,1,0
Sole,Solea solea,Solea vulgaris,SOL,Dover sole,Sole,173001,127160,70,0.0038,3.2751,30,10.5,26,4.17,DEM,4.002702824,70,70,0,0,Benthivore,Demersal,0,0,1,0
Mackerel ,Scomber scombrus,Scomber scombrus,MAC,(EUROPEAN) MACKEREL,Atlantic mackerel,172414,127023,66,0.0036,3.28,741,NA,10.6,3.61,PEL,3.61,NA,66,NA,0,Planktivore,Pelagic,0,0,0,1
Small demersal fish,Gadiculus argenteus,Gadiculus argenteus,SYP,SILVERY POUT,,164772,126435,15,0.00187975,3.291,Ecotypes,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brill,Scophthalmus rhombus,Scophthalmus rhombus,BLL,BRILL,Brill,172749,127150,75,0.0055,3.3047,7,25,11,3.79,DEM,4.575944,100,100,1,1,Piscivore,Demersal,1,0,0,0
Large demersal fish,Conger conger,Conger conger,COE,EUROPEAN CONGER EEL,,161341,126285,180,6.00E-04,3.313,957,10,NA,4.2,DEM,4.217904059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Anguilla anguilla,Anguilla anguilla,ELE,EUROPEAN EEL,,161128,126281,100,6.00E-04,3.313,957,10,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Anguillidae,Anguillidae,EEL,EELS,European eel,161125,125425,NA,6.00E-04,3.313,957,10,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Arnoglossus imperialis,Arnoglossus imperialis,ISF,IMPERIAL SCALDFISH,,172806,127124,18,0.0028,3.34,18,9,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monkfish,Lophius budegassa,Lophius budegassa,WAF,WHITE-ANGLERFISH,,164502,126554,32.9,0.0044,3.345,34,13.6,36.2,4.09,DEM,4.882713824,200,200,1,1,Piscivore,Bathydemersal,1,0,0,0
Other gadoids (small),Trisopterus luscus,Trisopterus luscus,BIB,WHITING-POUT (BIB),,164755,126445,45,0.0038,3.3665,147,18,NA,3.83,DEM,3.817256765,45,45,0,0,Benthivore,Demersal,0,0,1,0
Miscellaneous filter feeding pelagic fish,Osmerus eperlanus,Osmerus eperlanus,,Smelt,,162039,126736,45,0.0000023,3.37,mous2000,NA,NA,3.43,PEL,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Syngnathus,Syngnathus,,Other,,166444,126227,NA,1.00E-04,3.3877,Average over North Sea species in Syngnathus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other gadoids (large),Phycis blennoides,Phycis blennoides,GFB,GREATER FORKBEARD,Greater forkbeard,164751,126501,65,0.0022,3.3892,25,19,NA,4.45,DEM,4.571004765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turbot,Scophthalmus maximus,Scophthalmus maximus,TUR,TURBOT,Turbot,172748,154473,68,0.0046,3.3972,44,27.5,25,4,DEM,4.575944,100,100,1,1,Piscivore,Demersal,1,0,0,0
Small demersal fish,Trachinus draco,Trachinus draco,WEG,Greater weever,,170992,127082,40,0.0018,3.4099,29,24.5,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Syngnathus rostellatus,Syngnathus rostellatus,NPF,NILSSON'S PIPEFISH,,166463,127389,20,1.00E-04,3.414,26,5.2,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Witch,Glyptocephalus cynoglossus,Glyptocephalus cynoglossus,WIT,WITCH,Witch flounder,172873,127136,60,0.0013,3.435,391,4.5,14.2,3.88,DEM,4.049931588,60,60,0,0,Benthivore,Demersal,0,0,1,0
Other gadoids (large),Molva molva,Molva molva,LIN,COMMON LING,Ling,164760,126461,200,0.001,3.4362,19,20,NA,4.45,DEM,4.571004765,200,200,1,1,Piscivore,Demersal,1,0,0,0
Sprat,Sprattus sprattus,Sprattus sprattus,SPR,Sprat,European sprat,161789,126425,16,0.002112,3.4746,NA,NA,5.2,4.09,PEL,2.976077294,NA,16,NA,0,Planktivore,Pelagic,0,0,0,1
Large demersal fish,Chimaera monstrosa,Chimaera monstrosa,RBF,RABBIT FISH(RAT-TAIL),,161022,105824,93.3,3.00E-04,3.475,22,31.6,NA,4.2,DEM,4.217904059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miscellaneous filter feeding pelagic fish,Engraulis encrasicolus,Engraulis encrasicolus,ANE,EUROPEAN ANCHOVY,,161832,126426,20,0.0018,3.4914,5,NA,NA,3.43,PEL,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
