ValidAphiaID,valid_name,valid_authority,kingdom,phylum,CLASS,order,family,genus,rank,FRS_Common Name,LmaxFB,Lmin,LWRa,LWRb,LWRSource
234519,Liparidae,"Gill, 1861",Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,0,Family,NA,15,0,0.018211497,2.955,Mean_Species
126160,Liparis,"Scopoli, 1777",Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Genus,NA,15,0,0.02457642,2.955,Mean_Species
293624,Liparis liparis liparis,"(Linnaeus, 1766)",Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Species,Striped seasnail,15,1.6,0.0302,3,FishBase
127220,Liparis montagui,"(Donovan, 1804)",Animalia,Chordata,Actinopteri,Scorpaeniformes,Liparidae,Liparis,Species,Montagu's seasnail,12,1.2,0.02,2.91,MS-S
127055,Lithognathus mormyrus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Perciformes,Sparidae,Lithognathus,Species,Striped seabream,55,1.95,0.0135,3.02,FishBase
126978,Liza aurata,"(Risso, 1810)",Animalia,Chordata,Actinopteri,Perciformes,Mugilidae,Liza,Species,Golden grey mullet,59,2.05,0.0129,2.9,FishBase
126980,Liza ramada,"(Risso, 1827)",Animalia,Chordata,Actinopteri,Perciformes,Mugilidae,Liza,Species,Thinlip grey mullet,70,2.01,0.0091,2.99,FishBase
158899,Lobianchia,"Gatti, 1904",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Lobianchia,Genus,NA,6,0,0.006990494,3.035,Mean_Species
158900,Lobianchia dofleini,"(Zugmayer, 1911)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Lobianchia,Species,Dofleini's lantern fish,5,1.27,0.00912,3.04,FB_Baysian_(Sub)family-body shape
158901,Lobianchia gemellarii,"(Cocco, 1838)",Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Lobianchia,Species,Cocco's lantern fish,6,1.32,0.00537,3.08,FB_Baysian_(Sub)family-body shape
125493,Lophiidae,"Rafinesque, 1810",Animalia,Chordata,Actinopteri,Lophiiformes,Lophiidae,0,Family,NA,200,0,0.02112817,2.885,Mean_Species
125802,Lophius,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Genus,NA,200,0,0.02112817,2.885,Mean_Species
126554,Lophius budegassa,"Spinola, 1807",Animalia,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Species,Black bellied angler,100,3.28,0.0155,2.96,FishBase
126555,Lophius piscatorius,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Species,Angler,200,3.5,0.0288,2.81,FishBase
126088,Lumpenus,"Reinhardt, 1836",Animalia,Chordata,Actinopteri,Perciformes,Stichaeidae,Lumpenus,Genus,NA,50,0,0.0164,2.09,Mean_Species
154675,Lumpenus lampretaeformis,"(Walbaum, 1792)",Animalia,Chordata,Actinopteri,Perciformes,Stichaeidae,Lumpenus,Species,Snakeblenny,50,4.1,0.0164,2.09,FishBase
127101,Lycenchelys sarsii,"(Collett, 1871)",Animalia,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycenchelys,Species,Sar's wolf eel,20,1.66,0.0001,4.1,MS-S
126104,Lycodes,"Reinhardt, 1831",Animalia,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycodes,Genus,NA,52,0,0.007183317,2.67,Mean_Species
274100,Lycodes gracilis,"Sars, 1867",Animalia,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycodes,Species,Eelpout,28,1.82,0.04,2.25,MS-S
127118,Lycodes vahlii,"Reinhardt, 1831",Animalia,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycodes,Species,INCORRECT DISTRIBUTION,52,0,0.00129,3.09,FB_Baysian_(Sub)family-body shape
126356,Macroparalepis affinis,"Ege, 1933",Animalia,Chordata,Actinopteri,Aulopiformes,Paralepididae,Macroparalepis,Species,Macroparalepis affine,55,2.25,0.00324,3.08,FB_Baysian_(Sub)family-body shape
126222,Macroramphosus,"Lacepède, 1803",Animalia,Chordata,Actinopteri,Syngnathiformes,Centriscidae,Macroramphosus,Genus,NA,20,0,0.0087,2.83,Mean_Species
127378,Macroramphosus scolopax,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Syngnathiformes,Centriscidae,Macroramphosus,Species,Longspine snipefish,20,2.3,0.0087,2.83,FishBase
125471,Macrouridae,"Bonaparte, 1831",Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,0,Family,NA,110,0,0.002623926,3.0666,Mean_Species
126472,Macrourus berglax,"Lacepède, 1801",Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Macrourus,Species,Rough-head grenadier,110,2.52,0.012,2.93,FishBase
126359,Magnisudis atlantica,"(Krøyer, 1868)",Animalia,Chordata,Actinopteri,Aulopiformes,Paralepididae,Magnisudis,Species,Duckbill baracudina,56,2.26,0.00324,3.08,FB_Baysian_(Sub)family-body shape
272392,Malacocephalus laevis,"(Lowe, 1843)",Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Malacocephalus,Species,Softhead rat tail,60,2.38,0.00411,2.8716,MS-S
127297,Margrethia obtusirostra,"Jespersen & Tåning, 1919",Animalia,Chordata,Actinopteri,Stomiiformes,Gonostomatidae,Margrethia,Species,Bighead portholefish,8.3,1.69,0.01122,3.04,FB_Baysian_Body shape
127312,Maurolicus muelleri,"(Gmelin, 1789)",Animalia,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Maurolicus,Species,Pearlside,8,1.6,0.00164,3.961,FishBase
126437,Melanogrammus aeglefinus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Gadiformes,Gadidae,Melanogrammus,Species,Haddock,112,4.5,0.0074,3.06,FishBase
126483,Melanonus zugmayeri,"Norman, 1930",Animalia,Chordata,Actinopteri,Gadiformes,Melanonidae,Melanonus,Species,Arrowtail,28,2.1,0.00389,3.12,FB_Baysian_Body shape
127359,Melanostomias bartonbeani,"Parr, 1927",Animalia,Chordata,Actinopteri,Stomiiformes,Stomiidae,Melanostomias,Species,Scaleless black dragonfish,26.2,2.04,0.00389,3.12,FB_Baysian_Body shape
126438,Merlangius merlangus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Gadiformes,Gadidae,Merlangius,Species,Whiting,70,3.4,0.0059,3.08,FishBase
125473,Merlucciidae,"Rafinesque, 1815",Animalia,Chordata,Actinopteri,Gadiformes,Merlucciidae,0,Family,NA,140,0,0.0046,3.12,Mean_Species
126484,Merluccius merluccius,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Species,Hake,140,1.7,0.0046,3.12,FishBase
127201,Micrenophrys lilljeborgii,"(Collett, 1875)",Animalia,Chordata,Actinopteri,Scorpaeniformes,Cottidae,Micrenophrys,Species,Norway bullhead,7.4,1.2,0.00661,3.17,FB_Baysian_(Sub)family-body shape
126129,Microchirus,"Bonaparte, 1833",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Microchirus,Genus,NA,40,0,0.01105173,3.03,Mean_Species
